web-scraper-order,web-scraper-start-url,CLICKER,PLAYER,TEAM,AGE,POSITION,GAMES_PLAYED,GAMES,FREQ_PCT,DFGM,DFGA,DFG_PCT,FG_PCT,DIFF_PCT
"1723586088-3709","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Aleksej Pokusevski","OKC","19","C","44","44","100","249","501","49.7","45.7","4.0"
"1723586088-3710","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Marvin Bagley III","SAC","22","F","42","42","100","259","500","51.8","47.6","4.2"
"1723586088-3711","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","LaMelo Ball","CHA","19","G","50","50","100","235","499","47.1","45.5","1.6"
"1723586088-3712","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Shai Gilgeous-Alexander","OKC","22","G-F","34","34","100","239","499","47.9","45.9","2.0"
"1723586088-3713","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Aaron Holiday","IND","24","G","64","64","100","233","499","46.7","45.2","1.5"
"1723586088-3714","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Aaron Gordon","DEN","25","F","49","49","100","228","497","45.9","47.1","-1.2"
"1723586088-3715","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Marcus Smart","BOS","27","G","48","48","100","212","496","42.7","46.2","-3.4"
"1723586088-3716","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Dwight Powell","DAL","29","F-C","57","57","100","225","495","45.5","48.1","-2.7"
"1723586088-3717","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Andre Iguodala","MIA","37","G-F","61","61","100","216","492","43.9","46.1","-2.2"
"1723586088-3718","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Cole Anthony","ORL","21","G","45","45","100","254","491","51.7","45.3","6.5"
"1723586088-3719","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Shake Milton","PHI","24","G-F","63","63","100","221","489","45.2","44.9","0.3"
